date,nav
2025-01-27,0.7582
2025-02-05,0.7453
2025-02-06,0.7493
2025-02-07,0.7587
2025-02-10,0.7598
2025-02-11,0.7517
2025-02-12,0.7623
2025-02-13,0.788
2025-02-14,0.7858
2025-02-17,0.7893
2025-02-18,0.7796
2025-02-19,0.7834
2025-02-20,0.7811
2025-02-21,0.7873
2025-02-24,0.7985
2025-02-25,0.7843
2025-02-26,0.7927
2025-02-27,0.8117
2025-02-28,0.8095
2025-03-03,0.7989
2025-03-04,0.7891
2025-03-05,0.79
2025-03-06,0.8042
2025-03-07,0.8207
2025-03-10,0.8215
2025-03-11,0.8444
2025-03-12,0.8352
2025-03-13,0.8336
2025-03-14,0.8733
2025-03-17,0.8735
2025-03-18,0.8669
2025-03-19,0.8582
2025-03-20,0.8428
2025-03-21,0.8325
2025-03-24,0.8317
2025-03-25,0.8304
2025-03-26,0.8303
2025-03-27,0.8383
2025-03-28,0.8318
2025-03-31,0.8194
2025-04-01,0.8198
2025-04-02,0.8172
2025-04-03,0.8295
2025-04-07,0.7954
2025-04-08,0.8155
2025-04-09,0.8287
2025-04-10,0.8307
2025-04-11,0.8219
2025-04-14,0.8131
2025-04-15,0.8145
2025-04-16,0.8169
2025-04-17,0.8235
2025-04-18,0.8175
2025-04-21,0.8077
2025-04-22,0.8085
2025-04-23,0.8048
2025-04-24,0.7995
2025-04-25,0.7976
2025-04-28,0.7965
2025-04-29,0.782
2025-04-30,0.7826
2025-05-06,0.787
2025-05-07,0.7898
2025-05-08,0.796
2025-05-09,0.7945
2025-05-12,0.799
2025-05-13,0.7965
2025-05-14,0.8116
2025-05-15,0.8028
2025-05-16,0.7917
2025-05-19,0.7785
2025-05-20,0.7776
2025-05-21,0.7761
2025-05-22,0.7715
2025-05-23,0.7663
2025-05-26,0.7575
2025-05-27,0.7572
2025-05-28,0.7556
2025-05-29,0.7569
2025-05-30,0.7476
2025-06-03,0.7401
2025-06-04,0.7397
2025-06-05,0.7446
2025-06-06,0.744
2025-06-09,0.7389
2025-06-10,0.7324
2025-06-11,0.7345
2025-06-12,0.7232
2025-06-13,0.7045
2025-06-16,0.7056
